Charity,Donated,2020,2021,2022,2023,2024,2025,2026,Transferred,2020,2021,2022,2023,2024,2025,2026
"Give For Good operationele vergoeding",,"","","","","","","",,"","25.16","13.15","","94.19","26.97","",
"Doneer Effectief: Animal Welfare &#038; Food Transition",,"","","","","","10","",,"","","","","","","",
"New Incentives",,"","","","","10","973","",,"","","","","","","",
"Andreas Earth Trust",,"","","","","","","220",,"","","","","","","",
"Thuisgekookt Foundation",,"","","","","50","407","30",,"","","","","","","",
"Wildlife Justice Commission",,"","10","25","131.21","426.95","280","10",,"","","","0.33","22.96","5.52","",
"Friendship Bench",,"","","","","20","970","",,"","","","","","","",
"Kinder World",,"","","70","","30.76","1729","",,"","","","","","","",
"foodwatch",,"","","20","11.29","17.89","483","150",,"","","","","","","",
"Andreas Steinmann Trust",,"","","","","","405","",,"","","","","","","",
"Plastic Soup Foundation",,"50","275","253","355","441.97","286","30",,"","7.15","3.73","13.81","58.7","13.96","",
"Survival International",,"","","","","","","90",,"","","","","","","",
"Wild Camel Protection Foundation (WCPF)",,"","","","","","","30",,"","","","","","","",
"Wikimedia Foundation",,"","","","","","2849","",,"","","","","","","",
"Andheri Hilfe",,"","","","","","","25",,"","","","","","","",
"MIND Us",,"","","","","","220","25",,"","","","","","","",
"The Ocean Cleanup",,"","","","","","10","10",,"","","","","","","",
"Foundation DierenLot",,"","","20","","","","",,"","","","","","","",
"Mary&#8217;s Meals",,"","","","","","","5",,"","","","","","","",
"Zorgeloos naar School",,"","","","","","25","25",,"","","","","","","",
"Voedselbank Deventer",,"","","","","","30","",,"","","","","","","",
"Dierenbescherming",,"","","","","","50","92",,"","","","","","","",
"Meer dan Gewenst",,"","","","","","","25",,"","","","","","","",
"Fund: Lea Fund for sudden cardiac death in young people",,"","","5","10","","789","25",,"","","","","","","",
"Oasebos",,"","","","","","25","",,"","","","","","","",
"Foundation for Pet Welfare Improvement",,"","10","60","59.35","122.83","1031","",,"","","","0.33","10.75","","",
"Theme: animal welfare",,"","","","30","131.31","117","100",,"","","","","","","",
"SOS Children’s Villages",,"","","","","","","18",,"","","","","","","",
"Amnesty International Nederland",,"","137.82","193.46","382.9","993.72","2067","",,"","","","5.29","61.82","18.84","",
"Stichting Lezen en Schrijven",,"","","","","","30","",,"","","","","","","",
"Plan International",,"","","","","","25","",,"","","","","","","",
"Dierenbescherming",,"","","","","","15","15",,"","","","","","","",
"AAA Orphanage India",,"","","20","550.25","155.84","687","50",,"","","","","","","",
"Connect2Us",,"50","5","","","","606","",,"","7.15","3.73","3.79","","","",
"Jacinto Convit World Organization",,"","","","","","420","",,"","","","","","","",
"Andreas Steinmann Enterprise Trust",,"","","","","","395","240",,"","","","","","","",
"Theme: children",,"","","","","35","601","296",,"","","","","","","",
"Animal Charity Evaluators Fund",,"","","","","10","757","50",,"","","","","","","",
"Leprazending",,"","","20","","","361","",,"","","","","","","",
"Edukans",,"","","","","","130","",,"","","","","","","",
"Mac Academy Foundation",,"","","","","","266","",,"","","","","","","",
"Doneer Effectief: Animal Welfare &#038; Food Transition",,"","","","","","94","",,"","","","","","","",
"Tearfund",,"","7","20","53.27","60.07","143","10",,"","","","0.23","6.22","","",
"Landschap Overijssel",,"","","","","","25","25",,"","","","","","","",
"Theme: sports and recreation",,"","","","10","","","",,"","","","","","","",
"MAF Nederland",,"50","","40","5.15","20.79","590","25",,"","7.15","3.73","3.63","6.58","","",
"BIG Bear Foundation",,"","","","100","","1462","100",,"","","","","","","",
"Village Enterprise",,"","","","","10","835","5",,"","","","","","","",
"Solidaridad",,"","111.47","61","55","50.33","380","",,"","","","4.01","12.9","","",
"Brooke Hospital for Animals Nederland",,"","","50","","","","",,"","","","","","","",
"KNGF Geleidehonden",,"","110","10","85","10","242","",,"","","","3.63","9.51","","",
"Enjoycleaningup",,"50","55","","","11.32","1135","",,"","7.15","3.73","5.45","6.61","","",
"Theme: All themes",,"","10","","13.38","5","227","643.83",,"","","","","","","",
"Bellingcat",,"","15","147","201.26","256.09","1492","420",,"","","","1","25.16","6.58","",
"Etty Goes Uganda",,"","","","","","25","",,"","","","","","","",
"The Guardian Foundation",,"","","","","","258","",,"","","","","","","",
"Amnesty International",,"","","","","","9","",,"","","","","","","",
"Lebenshilfe Oberösterreich",,"","","","","","","5",,"","","","","","","",
"Bijenstichting",,"","20","","","","","",,"","","","0.66","","","",
"Andreas Steinmann Society",,"","","","","","120","",,"","","","","","","",
"Support Casper",,"","","","","","7038","",,"","","","","","","",
"MIND Us",,"","","","","","5","",,"","","","","","","",
"The Ocean Cleanup",,"","","","","","105","220",,"","","","","","","",
"Jeugdeducatiefonds",,"","","","10","55","338","20",,"","","","","","","",
"Ronald McDonald Children&#8217;s Fund",,"","","","","","65","25",,"","","","","","","",
"Population Services International (PSI)",,"","","","","10","173","",,"","","","","","","",
"Raising The Village",,"","","","","10","750","",,"","","","","","","",
"JustDiggit",,"","","","","","10","",,"","","","","","","",
"One Acre Fund",,"","","","","160","282","",,"","","","","","","",
"Médecins Sans Frontières",,"","","","","","120","77.64",,"","","","","","","",
"Evidence Action",,"","","","","10","265","33",,"","","","","","","",
"ALS Foundation The Netherlands",,"","","","","","5490","",,"","","","","","","",
"Foundation The Star",,"","","","62.54","","494","",,"","","","","","","",
"Mission Possible",,"","10","","","47.34","267","10",,"","","","0.33","","","",
"Theme: Human rights",,"","25","","","80","5","50",,"","","","","","","",
"Voedselbank Enschede-Haaksbergen",,"","","","","","","25",,"","","","","","","",
"Hersenstichting (Brain Foundation)",,"","","","","","335","",,"","","","","","","",
"ZOA",,"","","","25.86","43.39","122","20",,"","","","","","","",
"Join for Joy",,"","15","25","56.34","21.72","","50",,"","","","0.5","","5.98","",
"JustDiggit",,"","","","","","25","8",,"","","","","","","",
"Malaria Consortium",,"","","","","110","1982","",,"","","","","","","",
"International Justice Mission",,"","","","58.8","","250","",,"","","","","","","",
"Soul search foundation",,"","","45","","","4","",,"","","","","","","",
"Born Free",,"","","","","","","150",,"","","","","","","",
"Stichting AMBER Alert Europe",,"","","","","","","",,"","","","","","","",
"Stichting Doneer Effectief: Climate Fund",,"","","","","10","5123","",,"","","","","12","","",
"Teaching at the Right Level Africa",,"","","","","10","1167","",,"","","","","","","",
"CliniClowns",,"50","35","140","182","168.01","4436","",,"","7.15","3.73","4.79","25.12","5.97","",
"TED talks",,"","50","","","","","",,"","","","","","","",
"Armoedefonds",,"","","","","","100","40",,"","","","","","","",
"Give For Good donaties uitkering",,"242","545","898","274.12","259.13","288.38","",,"","34.6","18.08","35.55","103.14","23.22","",
"StrongMinds",,"","","","","10","867","5",,"","","","","","","",
"Strong Babies",,"","","","44","76.46","485","",,"","","","","","5.87","",
"Plan International Nederland",,"50","175","150","188.83","345.31","188","60",,"","7.15","3.73","12.71","37.04","9.28","",
"Ambulance Wish Foundation",,"","","","","","324","33",,"","","","","","","",
"World Vision",,"","5","","27.49","81.59","350","6",,"","","","0.17","","","",
"EIDU",,"","","","","10","1320","",,"","","","","","","",
"UNICEF",,"","","","","","","170",,"","","","","","","",
"Hersenstichting (Brain Foundation)",,"","","","","","1","",,"","","","","","","",
"Friends of Maasstad Hospital Foundation",,"","","40","","","","",,"","","","","","","",
"Help Alliance",,"","","","","","","25",,"","","","","","","",
"Theme: international aid",,"","","","11.24","34.04","25","20",,"","","","","","","",
"Andreas Steinmann AID Trust",,"","","","","","60","",,"","","","","","","",
"Iodine Global Network",,"","","","","10","5020","4",,"","","","","","","",
"Het Vergeten Kind",,"","","","","","125","",,"","","","","","","",
"Educate Girls",,"","","","","10","7355.76","40",,"","","","","","","",
"Oxfam",,"","","","","60","1439","10",,"","","","","","","",
"Innovations for Poverty Action",,"","","","","10","939","",,"","","","","","","",
"KWF kankerbestrijding",,"","51","182","458","687","592","46",,"","","","1.68","60.15","14.6","",
"Kula Loans International",,"","","","100","52.62","","",,"","","","","6.64","","",
"Metakids",,"","220","40","20","145","270","",,"","","","7.27","13.33","","",
"National MS Fund The Netherlands",,"","","","","","1267","",,"","","","","","","",
"Landschapsbeheer Gelderland",,"","","","","","25","10",,"","","","","","","",
"Against Malaria Foundation",,"","","","","20","26810","",,"","","","","","","",
"Open Info",,"","","","","","25","",,"","","","","","","",
"Médecins Sans Frontières",,"","","","","","10","50",,"","","","","","","",
"Hulphond Nederland",,"50","50","317","315","320.21","1316","50",,"","7.15","3.73","6.93","46.38","11.13","",
"Simavi",,"50","25","","","75","132","",,"","7.15","3.73","4.45","6.82","","",
"Geef voor Gaia",,"","","","","","400","",,"","","","","","","",
"WWF Nederland",,"","20","23","","","","",,"","","","0.66","","","",
"Doctors without borders The Netherlands",,"","20","","","","","",,"","","","0.66","","","",
